Продукт;Бел, г;Жир, г;Угл, г;Кал, ккал;
Амарант;13,60;7,00;69,00;371,00;
Амарантовые отруби Di&Di с гречей;19,00;5,50;55,00;345,00;
Амарантовые отруби Di&Di с ламинарией;20,40;5,10;37,00;311,00;
Амарантовые отруби Di&Di с топинамбуром;19,00;5,50;55,00;345,00;
Булгур;12,30;1,30;57,60;342,00;
Булгур Yelli с белыми грибами;14,00;2,00;64,00;330,00;
Булгур Готово! с овощами;13,00;1,50;67,00;330,00;
Булгур Мистраль;14,20;1,10;73,40;343,00;
Булгур приготовленный;3,10;0,20;14,10;83,00;
Гарнир Националь бурый рис, киноа и семена льна;9,30;8,20;68,60;385,00;
Гарнир Националь рис, киноа, тыква;10,60;8,60;67,30;389,00;
Горох Makfa дробленый в пакетиках;23,00;1,50;48,10;299,00;
Горох Makfa колотый;23,00;1,50;48,10;299,00;
Горох Агро-Альянс колотый;23,00;1,00;62,00;350,00;
Горох маш Ярмарка Платинум;23,50;2,00;50,00;312,00;
Горох Мистраль Айдахо;20,80;1,40;55,20;317,00;
Горох Мистраль Орегон;20,00;1,50;66,40;327,00;
Горох Пассим колотый;23,00;1,60;48,10;299,00;
Горох Увелка колотый;20,00;2,00;67,00;360,00;
Готовый завтрак Nestle Kosmostars звездочки и галактики медовые;7,20;5,00;76,20;400,00;
Гречка Yelli с белыми грибами;13,00;3,50;52,00;290,00;
Гречка зелёная вареная;4,00;1,00;21,00;110,00;
Гречка зелёная для проращивания;10,80;3,20;54,40;295,00;
Гречневая каша вязкая на воде;3,20;0,80;17,10;90,00;
Гречневая каша из крупы ядрица;3,00;3,40;14,60;101,00;
Гречневая каша на молоке;4,20;2,30;21,60;118,00;
Гречневая каша с маслом;4,50;2,30;25,00;132,00;
Гречневая крупа (продел);9,50;2,30;65,90;306,00;
Гречневая крупа (ядрица);12,60;3,30;62,10;313,00;
Гречневая крупа (ядрица) зелёная;10,80;3,20;56,00;296,00;
Гречневая крупа Агро-Альянс Элитная;13,00;3,00;68,00;350,00;
Гречневая крупа Мистраль зеленая;13,40;3,00;68,00;328,00;
Гречневая крупа Мистраль ядрица;13,60;3,30;65,00;353,00;
Гречневая крупа Пассим Алтайская;12,60;2,60;68,00;329,00;
Гречневая манка Гарнец безглютеновая;12,50;2,50;70,00;350,00;
Гречневые хлопья;9,00;2,40;67,00;330,00;
Гречневые хлопья Makfa;8,00;3,00;79,00;375,00;
Гречневые хлопья Myllyn Paras;13,00;1,70;67,50;340,00;
Гречневые хлопья Myllyn Paras для каши;13,00;1,70;67,50;340,00;
Гречневые хлопья Агро-Альянс;11,00;2,00;74,00;370,00;
Гречневые хлопья Алтайская сказка;12,80;3,40;66,10;346,00;
Гречневые хлопья Мистраль;12,60;2,30;59,00;345,00;
Гречневые хлопья Пассим;9,50;2,30;65,80;322,00;
Каша 4-х зерновая Myllyn Paras;11,40;2,80;61,10;320,00;
Каша 7 злаков Маtti;12,00;5,00;56,00;320,00;
Киноа;14,10;6,10;57,20;368,00;
Киноа Мистраль;14,00;6,00;64,00;368,00;
Котлеты гречневые Мистраль;12,00;3,00;58,00;310,00;
Котлеты нутовые Вкусное дело;20,80;1,80;49,70;288,00;
Котлеты нутовые Мистраль;12,00;12,00;53,00;360,00;
Котлеты чечевичные Вкусное дело;19,20;2,20;54,80;307,00;
Крупа Увелка Дружба рис и пшено;8,00;1,00;77,00;350,00;
Кукурузная крупа;8,30;1,20;75,00;337,00;
Кукурузная крупа Makfa;8,30;1,20;71,00;328,00;
