Продукт;Бел, г;Жир, г;Угл, г;Кал, ккал;
Жир бараний топлёный;0;99,70;0,00;897,00;
Жир говяжий топлёный;0,00;99,70;0,00;897,00;
Жир из печени трески;0,00;99,80;0,00;898,00;
Жир кондитерский для шоколадных изделий;0,00;99,70;0,00;897,00;
Жир кондитерский твердый;0,00;99,80;0,00;898,00;
Жир костный топлёный;0,00;99,70;0,00;897,00;
Жир кулинарный;0,00;99,70;0,00;897,00;
Жир куриный;0,00;99,70;0,00;897,00;
Жир рыбий;0,00;100,00;0,00;902,00;
Жир свиной топлёный;0,00;99,60;0,00;896,00;
Маргарин низкокалорийный;0,50;60,00;0,70;545,00;
Маргарин Славянский;0,30;82,00;0,10;743,00;
Маргарин сливочный;0,50;82,00;0,00;745,00;
Маргарин столовый молочный;0,30;82,00;1,00;743,00;
Маргарин столовый Сливочник 40%;0,00;40,00;0,00;360,00;
Маргарин Экстра;0,50;82,00;1,00;744,00;
Масло абрикосовое;0,00;99,90;0,00;899,00;
Масло авокадо;0,00;100,00;0,00;884,00;
Масло амаранта;0,00;81,80;0,00;736,00;
Масло арахисовое;0,00;99,90;0,00;899,00;
Масло арахисовое PB2 сухое обезжиренное;37,50;8,30;37,50;375,00;
Масло виноградных косточек;0,00;99,90;0,00;899,00;
Масло горчичное;0,00;99,80;0,00;898,00;
Масло грецкого ореха;0,00;99,80;0,00;898,00;
Масло гхи;0,00;100,00;0,00;902,00;
Масло зародышей пшеницы;0,00;100,00;0,00;884,00;
Масло иланг-иланга;0,00;99,00;0,00;890,00;
Масло какао;0,00;99,90;0,00;899,00;
Масло канолы;0,00;99,00;0,00;898,00;
Масло кедрового ореха;0,00;99,00;0,00;898,00;
Масло кокосовое;0,00;99,90;0,00;899,00;
Масло кокосовое Nutiva с ароматом сливочного масла;0,00;100,00;0,00;923,00;
Масло конопляное;0,00;99,90;0,00;899,00;
Масло кукурузное;0,00;99,90;0,00;899,00;
Масло кунжутное;0,00;99,90;0,00;899,00;
Масло лимонное;0,00;100,00;0,00;900,00;
Масло льняное;0,00;99,80;0,00;898,00;
Масло макадамии;9,20;74,60;10,00;708,00;
Масло маковое;0,00;99,80;0,00;898,00;
Масло миндальное;0,00;90,70;0,00;816,00;
Масло мускатного ореха;0,00;100,00;0,10;899,00;
Масло облепиховое;0,00;99,50;0,00;896,00;
Масло овсяное;0,00;99,00;0,00;890,00;
Масло оливковое;0,00;99,80;0,00;898,00;
Масло оливковое Filippo Berio Olive Oil;0,00;91,30;0,00;822,00;
Масло оливковое Monini Classico Extra Vergine;0,00;100,00;0,00;900,00;
Масло ореховое;0,00;100,00;0,00;899,00;
Масло пальмовое;0,00;99,90;0,00;899,00;
Масло подсолнечное;0,00;99,90;0,00;900,00;
Масло рапсово-соевое;0,00;99,90;0,00;899,00;
Масло рапсовое;0,00;99,90;0,00;899,00;
Масло растительное нерафинированное;0,00;99,00;0,00;899,00;
Масло растительное рафинированное;0,00;99,00;0,00;899,00;
Масло расторопши;0,00;98,00;0,00;889,00;
Масло репейное;0,00;100,00;0,00;930,00;
Масло рисовое Kohinoor Rice Bran Oil;0,00;91,50;0,00;824,00;
Масло рыжиковое;0,00;99,00;0,00;900,00;
Масло сафлоровое;0,00;100,00;0,00;880,00;
Масло сливочное;0,50;82,50;0,80;748,00;
Масло сливочное 60%;1,30;60,00;1,70;552,00;
Масло сливочное 67%;1,00;67,00;1,60;610,00;
Масло сливочное Брест-Литовск несолёное 72,5%;0,80;72,50;1,30;661,00;
Масло сливочное Валио 82%;0,70;82,00;0,70;740,00;
Масло сливочное Вкуснотеево традиционное 82,5%;0,60;82,50;0,80;748,00;
Масло сливочное крестьянское несолёное 72,5%;1,00;72,50;1,40;662,00;
Масло сливочное крестьянское солёное 72,5%;1,00;72,50;1,40;662,00;
Масло сливочное шоколадное;1,50;62,00;18,60;642,00;
Масло сливочное шоколадное Избёнка (ВкусВилл) 62%;1,20;62,00;19,60;644,00;
Масло соевое;0,00;99,90;0,00;899,00;
Масло топлёное;0,20;99,00;0,00;892,00;
Масло тыквенное;0,00;99,50;0,00;896,00;
Масло хлопковое;0,00;99,00;0,00;899,00;
Масло ши (карите);0,00;98,00;0,00;884,00;
Масло шишек хмеля;0,00;99,00;0,00;897,00;
Спред растительно-жировой Нежный;0,00;40,00;0,00;360,00;
Тахина;24,00;62,00;10,00;695,00;
