Продукт;Бел, г;Жир, г;Угл, г;Кал, ккал
Ангурия (Антильский огурец);1,8;1,3;7,6;44
Арракача;0,9;0,1;17,1;60
Артишок;1,2;0,1;6;28
Ассорти Бондюэль из сладкого перца;1,1;0,2;4,8;25
Ассорти Бондюэль из фасоли с ананасами в соусе Карри;3,8;1,1;9,3;62
Ассорти Бондюэль из цветной капусты, романеско и брокколи;1,8;2,7;8,6;66
Ассорти МеленЪ Кабачки Черри Огурцы маринованные;0;0;4;15
Ассорти МеленЪ Патиссоны Черри Огурцы маринованные;0;0;4;15
Баклажан;1,2;0,1;4,5;24
Баклажан белый;1,2;0,1;4,6;24
Баклажан замороженный;1,3;0,1;5,2;27
Баклажан консервированный;0,9;0,7;7,3;49
Баклажанная икра консервированная;1,7;13,3;5,1;148
Баклажанная икра свежая;0,6;7;6;90
Баклажаны 4 сезона запечённые порционные;2,1;0,2;8,9;48
Баклажаны 4 сезона нарезанные;1,3;0,1;5,2;27
Бамбук листья;2;0;4;32
Бамбук побеги вареные;1,5;0,2;0,9;12
Бамбук побеги консервированные;1,7;0,4;1,8;19
Бамбук побеги сырые;2,6;0,3;3;27
Бамия;2;0,1;3,8;25
Бамия 4 сезона;0,2;0,1;8;23
Бедренец камнеломка;0;0;0;
Бессмертник;0,2;0;5;27
Бобы;6;0,1;8,5;57
Бобы зелёные;6;0,1;10,5;60
Брюква;1,2;0,1;7,7;37
Брюква запечённая;2,1;1,6;7,5;51
Брюква тушеная;1,2;8,5;8,6;114
Вигна;3;0,4;18,8;90
Горох варёный;6;0;9;60
Горох лущеный;23;1,6;57,7;323
Горох маш;23,5;2;46;300
Горох маш (ростки);3,1;0,2;6;30
Горох сушёный;20,5;2;53,3;298
Горошек зелёный;5;0,2;13,8;73
Горошек зелёный 4 сезона;5,1;0,2;13,1;75
Горошек зелёный 6 соток;3,1;0;6,5;38
Горошек зелёный Globus;5,5;0,7;7,4;74
Горошек зелёный Hortex;6,4;0,4;10,5;83
Горошек зелёный Бондюэль замороженный;6,9;0,4;19,4;85
Горошек зелёный Бондюэль Нежный;4,8;0,2;7,5;52
Горошек зелёный Бондюэль с молодой морковью;3,3;0,5;9,3;54
Горошек зелёный Бондюэль с морковью в кубиках;3;0,2;10;53
Горошек зелёный замороженный;6,4;0,4;16,3;72
Горошек зелёный Каждый день замороженный;5;0,2;8,5;55
Горошек зелёный консервированный;3,6;0,1;9,8;55
Горошек зелёный стручковый;5;0,2;8,3;55
Гулявник лекарственный;0,3;0;5;21
Дайкон;1,2;0;4,1;21
Девясил;2,9;0;0,2;15
Драники картофельные Зимняя радуга Белорусские замороженные;1,9;0,4;16,9;79
Закусочка Дядя Ваня Венгерская;5;5,5;3;82
Зелень;2,6;0,4;5,2;36
Зразы картофельные от Ильиной с грибами;2;1;13;70
Зразы картофельные от Ильиной с капустой;3,3;3,9;15;108
Кабачки 4 сезона нарезанные;0,6;0,3;5,3;26
Кабачковая икра;1,2;7;7,4;97
Кабачок;0,6;0,3;4,6;24
Кабачок жареный;1,1;6;6,7;88
Кабачок замороженный;0,6;0,3;4,7;21
Кабачок консервированный;0,4;0,1;4,9;22
Кабачок сушеный;8,5;4,3;65,2;340
Каперсы;0,8;0,1;2,6;14
Каперсы консервированные;2,4;0,9;1,7;24
Каперсы маринованные;2,4;0,9;1,7;24
Капуста белокочанная;1,8;0,1;4,7;27
Капуста белокочанная жареная;1,8;2,8;4,2;49
Капуста белокочанная сушеная;15;1,4;48;278
Капуста брокколи;3;0,4;5,2;28
Капуста брокколи 4 сезона;2,5;0,3;4,6;31
Капуста брокколи Hortex;2,7;0,4;2,4;29
Капуста брокколи Бондюэль замороженная;2,7;0,1;4,9;23
Капуста брокколи варёная;3;0,4;4;27
Капуста брокколи замороженная;2,7;0,4;4,7;24
Капуста брюссельская;4,8;0;8;43
Капуста брюссельская 4 сезона;4,8;0,3;3,1;36
Капуста брюссельская Hortex;4,5;0,5;3,2;46
Капуста брюссельская Бондюэль замороженная;4;0,5;8;31
Капуста брюссельская замороженная;4,5;0,5;8,4;36
Капуста кале;3,3;0,7;8;50
Капуста квашеная;1,8;0,1;4,4;19
Капуста кольраби;2,8;0;10,7;42
Капуста консервированная;1,3;0,1;3,6;23
Капуста краснокочанная;0,8;0;7,6;24
Капуста пак-чой;1,5;0,2;2,2;13
Капуста пекинская;1,2;0,2;2;16
Капуста романеско;2,5;0,3;4,2;30
Капуста романеско Бондюэль;2,9;0,5;2,2;25
Капуста савойская;1,2;0,1;6;28
Капуста цветная;2,5;0,3;5,4;30
Капуста цветная 4 сезона;2,5;0,3;4,6;31
Капуста цветная Hortex;2,2;0,2;2,3;24
Капуста цветная Бондюэль замороженная;1,6;0,2;3,9;14
Капуста цветная варёная;1,8;0,3;4;29
Капуста цветная жареная;3;10;5,7;120
Капуста цветная консервированная;2,5;0,3;4,2;28
Картофель;2;0,4;16,1;76
Картофель 4 сезона по-деревенски;2,5;4;23,5;130
Картофель 4 сезона фри;2,1;3,3;11;105
Картофель варёный;2;0,4;16,7;82
Картофель жареный;2,8;9,5;23,4;192
Картофель молодой;2,4;0,4;12,4;61
Картофель сладкий (батат);2;0;14,6;61
Картофель сушеный;6,6;0,3;71,6;298
Картофель фиолетовый;2;0,4;16;72
Картофельное пюре;2,5;4,2;14,7;106
Картофельное пюре быстрого приготовления сухое;10,5;3,8;75,3;337
Картофельное пюре Доширак со вкусом грибов;5,1;5,3;71,2;350
Картофельное пюре Доширак со вкусом сыра;7,5;2,3;74,8;350
Картофельное пюре Роллтон с курицей;10;7;69;380
Картофельное пюре Роллтон с сухариками;10,5;3,8;75,3;377
Картофельные хлопья;7;1,1;83;369
Кинза;2,1;0,5;1,9;23
Кипрей (Иван-чай) сушеный;4,6;1,8;31,6;150
Клекачка колхидская (Джонджоли);2,4;0,9;1,7;23
Козлобородник;3,3;0,2;15,3;82
Колоказия съедобная;1,5;0,2;26,5;112
Крапива;2,6;0,3;5,2;33
Крем-паштет Дымов вегетарианский с грибами;7;23;3;247
Крем-паштет Дымов вегетарианский с жареным луком;7;24;3;256
Кресс-салат;2,3;0,1;1,3;11
Кукуруза 4 сезона сладкая в зёрнах;11,4;4,2;38,6;238
Кукуруза 6 соток сладкая;2,2;0;11,2;58
Кукуруза Globus сахарная в зернах;2,9;0,6;9,9;58
Кукуруза Green Ray деликатесная сладкая;2,2;0;11,2;58
Кукуруза Hortex;3,6;1,4;19,3;111
Кукуруза Бондюэль золотистая;3,2;1;18,6;96
Кукуруза Бондюэль Молодая сладкая;2,9;1,9;10,8;80
