Продукт;Бел, г;Жир, г;Угл, г;Кал, ккал;
Абрикос;0,90;0,10;9,00;44,00;
Абрикос консервированный;0,40;0,10;15,50;67,00;
Авокадо;2,00;20,00;6,00;212,00;
Айва;0,60;0,50;9,80;40,00;
Аки;1,00;15,00;8,00;151,00;
Алыча;0,20;0,00;6,90;27,00;
Ананас;0,40;0,20;10,60;49,00;
Ананас консервированный;0,10;0,10;14,00;57,00;
Апельсин;0,90;0,20;8,10;36,00;
Апельсин маринованный;0,60;0,00;8,90;37,00;
Арбуз;0,60;0,10;5,80;25,00;
Арбуз консервированный;0,50;0,10;9,00;37,00;
Ацерола;0,40;0,30;7,70;32,00;
Банан;1,50;0,20;21,80;95,00;
Вишня;0,80;0,50;11,30;52,00;
Вишня 4 сезона без косточки;0,80;0,20;10,70;50,00;
Вишня Hortex без косточки;0,90;0,40;9,90;49,00;
Вишня замороженная;0,90;0,40;11,00;46,00;
Вишня консервированная;0,80;0,20;10,60;45,00;
Гранадилла;0,50;0,10;8,00;46,00;
Гранат;0,90;0,00;13,90;52,00;
Грейпфрут;0,70;0,20;6,50;29,00;
Груша;0,40;0,30;10,90;42,00;
Груша консервированная;0,20;0,00;15,60;65,00;
Гуава;2,60;1,00;8,90;68,00;
Гуава земляничная;0,60;0,60;17,40;69,00;
Гуарана;0,10;0,00;6,50;26,00;
Джекфрут (плод хлебного дерева);1,40;0,30;22,40;94,00;
Дуриан;1,50;5,30;23,30;147,00;
Дыня;0,60;0,30;7,40;33,00;
Дыня медовая;0,60;0,30;7,40;33,00;
Жердела;0,90;0,20;10,00;46,00;
Звёздное яблоко;0,50;0,40;15,30;67,00;
Инжир;0,70;0,20;13,70;49,00;
Карамбола;1,00;0,00;7,00;31,00;
Кивано;1,80;1,30;7,60;44,00;
Киви;1,00;0,60;10,30;48,00;
Кизил;1,00;0,00;10,50;44,00;
Клементин;0,90;0,20;10,30;47,00;
Корлан;0,70;0,20;18,00;82,00;
Кумкват;1,90;0,90;9,40;71,00;
Лайм;0,90;0,10;3,00;16,00;
Лимон;0,90;0,10;3,00;16,00;
Лимон маринованный;0,40;0,30;6,50;21,00;
Лимон японский (Юзу);0,50;0,10;7,00;21,00;
Личи;0,80;0,30;14,40;65,00;
Лонган;1,30;0,10;14,00;60,00;
Лукума;0,10;0,10;7,90;32,00;
Маболо;0,50;0,40;15,30;67,00;
Магический фрукт;0,00;0,00;7,70;30,00;
Маклюра (Адамово яблоко);0,00;0,00;0,00;;
Маммея;0,50;0,50;9,50;51,00;
Манго;0,50;0,30;11,50;67,00;
Мангостан (мангостин);0,60;0,30;14,00;62,00;
Мандарин;0,80;0,20;7,50;33,00;
Мандарин консервированный;0,60;0,30;8,90;37,00;
Маракуйя;2,40;0,40;13,40;68,00;
Маранг;2,50;0,70;27,30;125,00;
Марула;0,60;0,50;9,60;48,00;
Мора;1,50;0,50;5,90;34,00;
Мушмула германская;0,00;0,00;12,00;53,00;
Мушмула японская;0,40;0,20;10,40;47,00;
Нектарин;0,90;0,20;11,80;48,00;
Нойна (Сахарное яблоко);0,40;0,40;9,80;47,00;
Нони;0,10;0,30;10,00;44,00;
Папайя;0,60;0,10;9,20;48,00;
Пассифлора голубая (Кавалерская звезда);2,40;0,40;13,40;68,00;
Пепино;0,00;0,00;20,00;80,00;
Персик;0,90;0,10;11,30;46,00;
Персики консервированные;0,30;0,10;14,70;68,00;
Питайя;0,50;0,30;12,00;50,00;
Плуот;1,20;0,10;11,00;57,00;
Помело;0,60;0,20;6,70;32,00;
Рамбутан;0,60;0,20;19,00;82,00;
Салакка;0,00;0,00;12,00;50,00;
Саподилла;0,40;1,10;14,70;83,00;
Сапота (Чёрное яблоко);2,10;0,60;31,20;134,00;
Свити;0,70;0,20;9,00;58,00;
Сизигиум;0,60;0,30;5,60;25,00;
Слива;0,80;0,30;9,60;42,00;
Слива 4 сезона без косточки;0,80;0,20;7,70;34,00;
Тамарилло;0,00;0,00;12,50;50,00;
Танжело;1,00;1,00;13,00;70,00;
Танжерин;0,80;0,30;11,50;53,00;
Тёрн;1,50;0,30;9,40;54,00;
Фейхоа;1,00;1,00;11,00;49,00;
Ферония (Деревянное яблоко);0,30;0,20;12,00;50,00;
Фруктовая смесь 4 сезона;0,90;0,00;7,70;34,00;
Фрукты;0,60;0,20;12,90;56,00;
Хурма;0,50;0,40;15,30;67,00;
Хурма виргинская;0,50;0,40;15,30;67,00;
Цабр;0,70;0,50;6,00;41,00;
Цитрон;0,90;0,10;3,00;34,00;
Цитрон Рука Будды;0,90;0,10;3,00;34,00;
Чемпедак;2,10;0,60;26,10;117,00;
Черешня;1,10;0,40;11,50;50,00;
Черимойя;1,70;0,60;15,40;74,00;
Чупа-чупа (Матизия сердечная);0,50;0,30;15,20;64,00;
Шелковица;0,70;0,00;13,60;52,00;
Яблоко;0,40;0,40;9,80;47,00;
Яблоко Голден;0,50;0,20;10,70;53,00;
Яблоко Гренни Смит;0,40;0,40;9,70;48,00;
Яблоко печёное кисло-сладкое;0,50;0,50;12,30;59,00;
Яблоко печёное сладкое;0,50;0,30;24,00;89,00;
Яблоко Фуджи;0,40;0,20;19,10;71,00;
Яблочный жмых;0,30;0,20;10,40;46,00;
